,0
1041,11409
1042,11476
1043,10856
1044,11832
1045,9077
1046,10117
1047,8481
1048,7638
1049,10485
1050,8783
1051,11146
1052,10658
1053,11680
1054,9668
1055,5210
1056,11539
1057,11717
1058,7098
1059,8287
1060,6418
1061,11098
1062,11021
1063,7638
1064,10299
1065,10239
1066,6351
1067,9406
1068,7446
1069,11077
1070,10592
1071,10438
1072,11085
1073,7277
1074,9764
1075,10399
1076,7720
1077,10983
1078,11697
1079,9735
1080,10001
1081,9553
1082,10434
1083,9880
1084,11071
1085,8275
1086,7674
1087,11594
1088,8880
1089,9482
1090,7253
1091,8843
1092,10011
1093,11497
1094,8820
1095,9506
1096,9211
1097,10655
1098,11507
1099,9522
1100,9133
1101,8986
1102,9743
1103,9504
1104,11076
1105,11809
1106,8616
1107,10898
1108,11607
1109,5210
1110,10081
1111,11307
1112,11438
1113,11615
1114,7810
1115,11705
1116,10596
1117,9466
1118,11525
1119,11394
1120,11078
1121,10721
1122,10205
1123,10045
1124,10127
1125,11179
1126,8458
1127,11341
1128,10262
1129,10327
1130,11261
1131,10983
1132,8202
1133,10315
1134,8007
1135,10401
1136,10082
1137,10277
1138,8695
1139,11510
1140,10483
1141,6919
1142,11198
1143,11447
1144,10891
1145,8785
1146,10589
1147,10060
1148,7810
1149,10847
1150,9853
1151,10374
1152,10959
1153,11121
1154,7810
1155,10743
1156,9427
1157,11013
1158,10602
1159,11899
1160,8772
1161,7975
1162,9365
1163,6061
1164,10303
1165,11105
1166,11486
1167,10493
1168,11053
1169,10760
1170,11111
1171,9797
1172,6238
1173,11369
1174,10918
1175,10013
1176,6042
1177,11011
1178,10549
1179,11083
1180,9924
1181,9737
1182,7792
1183,11491
1184,11305
1185,10537
1186,9534
1187,8248
1188,7398
1189,11182
1190,7381
1191,11643
1192,7195
1193,11140
1194,8286
1195,9372
1196,10350
1197,11375
1198,9814
1199,11430
1200,9080
1201,11267
1202,10327
1203,8939
1204,6343
1205,7625
1206,9805
1207,11095
1208,9645
1209,12000
1210,11234
1211,11617
1212,9175
1213,8542
1214,11001
1215,11810
1216,7781
1217,7743
1218,10023
1219,11070
1220,9287
1221,10391
1222,10326
1223,8461
1224,10605
1225,10863
1226,11609
1227,5795
1228,11223
1229,9954
1230,11267
1231,10706
1232,10194
1233,10924
1234,10717
1235,11701
1236,10224
1237,9630
1238,10597
1239,7732
1240,9972
1241,10341
1242,11650
1243,9474
1244,10554
1245,8502
1246,9011
1247,10482
1248,10777
1249,11340
1250,10738
1251,11392
1252,11585
1253,11805
1254,9359
1255,10729
1256,7972
1257,9764
1258,11565
1259,11380
1260,11597
1261,11465
1262,9105
1263,11678
1264,10973
1265,11269
1266,10566
1267,11763
1268,11017
1269,7876
1270,9025
1271,11309
1272,10524
1273,9004
1274,11156
1275,11314
1276,10409
1277,7810
1278,7222
1279,9398
1280,6565
1281,9764
1282,11572
1283,7810
1284,8837
1285,10616
1286,11243
1287,11470
1288,10507
1289,9064
1290,9126
1291,7810
1292,11115
1293,11799
1294,11811
1295,9124
1296,11625
1297,8922
1298,11705
1299,6089
1300,10503
1301,11519
1302,11392
1303,9644
1304,10324
1305,6536
1306,8690
1307,7810
1308,8321
1309,11803
1310,10733
1311,6822
1312,10446
1313,10406
1314,9972
1315,8379
1316,10838
1317,7202
1318,11251
1319,10266
1320,11268
1321,10113
1322,10977
1323,10972
1324,10485
1325,10362
1326,9975
1327,11223
1328,11536
1329,7494
1330,9415
1331,9549
1332,11751
1333,11634
1334,9321
1335,11381
1336,8235
1337,11250
1338,10276
1339,11150
1340,11539
1341,9004
1342,9545
1343,9752
1344,9373
1345,10306
1346,10250
1347,10876
1348,8782
1349,8781
1350,11312
1351,7477
1352,9746
1353,10254
1354,10985
1355,11596
1356,7892
1357,7723
1358,9441
1359,10000
1360,8952
1361,9523
1362,7700
1363,8461
1364,11228
1365,9051
1366,6795
1367,11688
1368,11103
1369,6642
1370,11160
1371,9364
1372,11049
1373,10863
1374,8938
1375,10296
1376,10020
1377,11044
1378,8737
1379,10384
1380,10862
1381,8280
1382,9397
1383,8786
1384,9022
1385,11529
1386,11349
1387,11345
1388,9768
1389,10179
1390,8632
1391,11357
1392,8030
1393,9717
1394,9156
1395,11811
1396,9817
1397,11484
1398,10115
1399,7330
1400,7810
1401,7141
1402,10503
1403,6338
1404,11227
1405,10123
1406,11156
1407,10684
1408,11640
1409,10987
1410,7954
1411,10382
1412,11325
1413,10227
1414,7601
1415,10688
1416,8659
1417,10634
1418,8837
1419,9181
1420,10592
1421,6691
1422,8366
1423,11492
1424,10709
1425,11065
1426,8862
1427,6725
1428,9930
1429,6343
1430,10823
1431,11515
1432,11138
1433,9099
1434,11399
1435,11370
1436,9916
1437,11053
1438,10854
1439,7214
1440,9948
1441,11170
1442,7142
1443,11524
1444,10842
1445,5023
1446,11162
1447,11870
1448,10654
1449,10363
1450,10226
1451,9803
1452,10085
1453,10155
1454,10890
1455,10626
1456,10371
1457,11769
1458,11046
1459,7684
1460,7349
1461,11169
1462,5811
1463,11361
1464,7130
1465,9338
1466,12000
1467,9569
1468,9429
1469,10869
1470,11737
1471,9437
1472,9830
1473,9097
1474,7112
1475,7996
1476,11202
1477,9505
1478,10662
1479,10775
1480,11116
1481,11213
1482,10132
1483,10400
1484,11225
1485,7079
1486,10583
1487,10532
1488,11426
1489,8687
1490,11385
1491,11421
1492,9896
1493,11348
1494,9172
1495,9811
1496,10910
1497,9953
1498,11954
1499,10957
1500,11236
1501,11316
1502,8149
1503,9530
1504,11511
1505,11031
1506,10888
1507,6343
1508,8863
1509,9614
1510,7810
1511,7757
1512,11846
1513,11290
1514,11721
1515,11247
1516,7638
1517,11336
1518,7810
1519,10509
1520,11538
1521,9183
1522,10094
1523,9471
1524,9881
1525,9434
1526,9968
1527,9722
1528,9164
1529,11687
1530,9145
1531,10038
1532,11162
1533,11676
1534,7810
1535,10693
1536,7810
1537,11791
1538,10371
1539,8266
1540,7641
1541,11359
1542,11417
1543,11453
1544,10558
1545,8767
1546,10414
1547,9689
1548,11164
1549,9293
1550,9322
1551,10638
1552,9590
1553,9478
1554,10923
1555,10175
1556,10110
1557,8716
1558,11337
1559,9718
1560,9869
1561,11389
1562,10380
1563,7593
1564,7638
1565,10226
1566,7680
1567,10353
1568,9345
1569,11560
1570,11241
1571,11793
1572,10003
1573,10015
1574,8544
1575,11177
1576,10999
1577,11275
1578,9246
1579,9030
1580,10657
1581,10571
1582,9230
1583,11018
1584,9826
1585,10226
1586,10972
1587,9634
1588,9071
1589,8097
1590,6565
1591,10350
1592,9378
1593,9068
1594,10188
1595,9373
1596,7539
1597,8194
1598,7163
1599,11193
1600,11656
1601,11530
1602,9796
1603,7810
1604,8136
1605,10450
1606,6932
1607,9593
1608,10949
1609,11704
1610,10209
1611,10341
1612,11242
1613,10608
1614,9695
1615,11160
1616,11055
1617,7648
1618,10387
1619,10481
1620,9217
1621,11262
1622,10567
1623,4925
1624,10076
1625,10969
1626,5130
1627,9658
1628,10024
1629,9256
1630,11698
1631,11398
1632,10067
1633,10342
1634,7744
1635,11648
1636,11452
1637,10006
1638,8888
1639,8115
1640,6715
1641,10717
1642,10137
1643,11820
1644,9928
1645,5023
1646,10915
1647,10777
1648,8435
1649,9170
1650,8259
1651,11477
1652,8926
1653,7810
1654,7954
1655,11273
1656,11793
1657,10968
1658,10797
1659,11545
1660,10928
1661,10798
1662,10590
1663,11163
1664,8448
1665,10881
1666,10339
1667,11699
1668,9914
1669,10374
1670,9621
1671,9912
1672,9713
1673,7289
1674,11798
1675,6782
1676,10910
1677,10774
1678,7041
1679,10313
1680,11619
1681,10932
1682,10626
1683,10582
1684,9677
1685,11616
1686,10074
1687,10824
1688,10273
1689,9732
1690,10605
1691,8737
1692,11154
1693,7864
1694,10043
1695,11744
1696,9823
1697,5130
1698,6303
1699,9351
1700,8251
1701,6228
1702,5080
1703,11316
1704,7108
1705,9916
1706,11574
