,0
1038,7877
1039,7638
1040,8237
1041,11440
1042,11671
1043,10085
1044,8223
1045,11416
1046,10912
1047,10908
1048,8006
1049,10765
1050,10541
1051,5610
1052,11126
1053,11834
1054,9065
1055,7957
1056,7906
1057,11202
1058,9319
1059,11619
1060,9395
1061,11911
1062,9873
1063,8605
1064,11628
1065,10871
1066,11943
1067,10571
1068,10972
1069,10695
1070,7266
1071,6704
1072,10930
1073,10938
1074,8894
1075,10032
1076,11781
1077,9561
1078,9473
1079,11683
1080,8657
1081,10053
1082,11530
1083,9180
1084,11312
1085,10483
1086,8820
1087,10003
1088,11096
1089,10798
1090,5210
1091,7142
1092,11163
1093,11703
1094,11201
1095,7707
1096,11608
1097,10443
1098,8089
1099,8319
1100,10957
1101,11562
1102,11278
1103,10754
1104,10592
1105,6883
1106,11430
1107,11312
1108,11625
1109,8765
1110,7787
1111,10996
1112,11252
1113,9597
1114,10356
1115,9296
1116,10973
1117,11044
1118,5204
1119,11645
1120,7617
1121,9970
1122,8185
1123,6530
1124,11222
1125,9584
1126,11829
1127,9877
1128,10146
1129,10806
1130,10296
1131,6256
1132,8410
1133,7637
1134,10313
1135,7810
1136,10482
1137,10259
1138,6770
1139,11671
1140,9208
1141,11449
1142,10718
1143,8663
1144,7810
1145,7384
1146,9010
1147,11465
1148,11966
1149,9748
1150,11166
1151,11531
1152,11502
1153,9041
1154,10007
1155,9710
1156,10272
1157,10886
1158,9358
1159,11950
1160,11020
1161,11338
1162,11509
1163,9520
1164,9904
1165,4890
1166,10659
1167,10348
1168,11289
1169,11216
1170,11768
1171,10596
1172,10949
1173,11932
1174,11219
1175,11371
1176,11456
1177,8936
1178,11031
1179,11105
1180,10426
1181,11208
1182,6039
1183,7782
1184,11373
1185,11589
1186,10291
1187,5751
1188,10509
1189,10166
1190,10980
1191,8264
1192,11417
1193,11360
1194,8819
1195,7810
1196,11085
1197,11586
1198,8573
1199,9916
1200,9749
1201,11106
1202,7810
1203,11563
1204,9911
1205,11014
1206,11422
1207,11141
1208,9525
1209,11209
1210,10944
1211,10937
1212,10347
1213,11762
1214,7772
1215,6276
1216,10904
1217,8735
1218,10948
1219,11611
1220,10939
1221,11394
1222,11437
1223,6347
1224,11302
1225,11193
1226,10055
1227,11411
1228,11510
1229,9760
1230,11261
1231,10320
1232,10761
1233,10224
1234,10762
1235,8069
1236,10233
1237,8948
1238,11109
1239,10815
1240,10858
1241,9159
1242,10076
1243,11267
1244,11320
1245,11097
1246,11103
1247,7810
1248,7810
1249,8889
1250,9876
1251,10178
1252,10194
1253,9653
1254,10257
1255,11586
1256,10832
1257,9468
1258,9479
1259,11419
1260,10530
1261,11852
1262,6611
1263,11382
1264,5908
1265,10935
1266,11721
1267,8068
1268,11131
1269,10118
1270,11849
1271,11220
1272,6176
1273,10128
1274,10991
1275,11271
1276,10837
1277,10969
1278,11496
1279,11499
1280,7810
1281,11756
1282,9555
1283,10754
1284,9149
1285,9934
1286,11922
1287,11342
1288,6061
1289,9391
1290,10879
1291,10635
1292,8713
1293,10611
1294,10363
1295,9181
1296,11757
1297,10632
1298,8910
1299,9940
1300,11063
1301,7638
1302,7712
1303,9241
1304,11578
1305,11723
1306,11640
1307,11360
1308,9305
1309,10666
1310,10948
1311,8808
1312,11016
1313,10927
1314,5023
1315,10523
1316,9924
1317,8223
1318,11264
1319,7349
1320,11341
1321,6039
1322,11783
1323,9652
1324,11420
1325,10111
1326,8874
1327,9877
1328,10288
1329,10824
1330,11759
1331,7810
1332,8945
1333,11737
1334,11938
1335,8740
1336,11392
1337,11187
1338,9200
1339,8080
1340,9964
1341,10303
1342,10713
1343,10544
1344,10230
1345,11751
1346,10784
1347,8790
1348,10711
1349,11350
1350,9459
1351,9240
1352,11280
1353,10947
1354,6773
